import time: self [us] | cumulative | imported package
import time:       290 |        648 |               tzlocal.utils
import time:       457 |       1410 |             tzlocal.win32
import time:       498 |       1908 |           tzlocal
import time:       415 |        415 |                 multiprocessing.process
import time:       460 |        460 |                 multiprocessing.reduction
import time:       678 |       1551 |               multiprocessing.context
import time:       412 |       1963 |             multiprocessing
import time:       562 |        562 |                 _queue
import time:       497 |       1059 |               queue
import time:       544 |        544 |                 _multiprocessing
import time:       401 |        401 |                 multiprocessing.util
import time:       531 |       1475 |               multiprocessing.connection
import time:       379 |        379 |               multiprocessing.queues
import time:       554 |       3467 |             concurrent.futures.process
import time:       353 |       5782 |           apscheduler.executors.pool
import time:       311 |        311 |               apscheduler.triggers
import time:       453 |        764 |             apscheduler.triggers.base
import time:       377 |       1140 |           apscheduler.job
import time:       306 |        306 |             apscheduler.jobstores
import time:       483 |        788 |           apscheduler.jobstores.base
import time:       329 |        329 |           apscheduler.jobstores.memory
import time:     31063 |      41008 |         apscheduler.schedulers.base
import time:       524 |      41925 |       apscheduler.schedulers.asyncio
import time:       621 |      49779 |     telegram.ext._jobqueue
import time:       771 |      51255 |   telegram.ext._applicationbuilder
import time:       659 |        659 |   telegram.ext._defaults
import time:       602 |        602 |   telegram.ext._dictpersistence
import time:       480 |        480 |   telegram.ext._handlers.businessconnectionhandler
import time:       417 |        417 |   telegram.ext._handlers.businessmessagesdeletedhandler
import time:       790 |        790 |   telegram.ext._handlers.callbackqueryhandler
